1,"horizon signal technologies, inc.",https://horizonsignal.com,manufacturer,"reading, pa",over $250m,10-49,95,thomasnet,new,2026-04-29 20:35:30
44,DB Schenker,,Logisztikai menedzsment,"Dubai, JAFZA",,,95,YellowPages-UAE,new,2026-04-29 20:46:09
46,Honeywell Middle East,,Automatizálási kereskedelem,"Dubai, Tech Park",,,95,YellowPages-UAE,new,2026-04-29 20:46:09
47,Siemens UAE,,Ipari technológia,Abu Dhabi / Dubai,,,95,YellowPages-UAE,new,2026-04-29 20:46:09
48,ABB UAE,,Energetika / Robotika,"Dubai, Silicon Oasis",,,95,YellowPages-UAE,new,2026-04-29 20:46:09
49,Schneider Electric,,Energia-menedzsment,"Dubai, Silicon Oasis",,,95,YellowPages-UAE,new,2026-04-29 20:46:09
51,IBM Middle East,,Szoftveres kereskedelem,"Dubai, Internet Park",,,95,YellowPages-UAE,new,2026-04-29 20:46:09
52,Microsoft Gulf,,Felhőalapú megoldások,"Dubai, Internet Park",,,95,YellowPages-UAE,new,2026-04-29 20:46:09
53,Oracle Middle East,,Adatbázis-technológia,"Dubai, Internet Park",,,95,YellowPages-UAE,new,2026-04-29 20:46:09
60,Akamai Technologies,,Cloud Security,"Dubai, Internet Park",,,95,YellowPages-UAE,new,2026-04-29 20:48:02
61,Check Point Software,,Kibervédelem,"Dubai, Internet Park",,,95,YellowPages-UAE,new,2026-04-29 20:48:02
63,Nvidia Middle East,,AI / GPU Tech,"Dubai, Internet Park",,,98,YellowPages-UAE,new,2026-04-29 20:48:02
67,Halliburton,,Olajipari technológia,"Dubai, Jebel Ali",,,95,YellowPages-UAE,new,2026-04-29 20:48:02
68,Baker Hughes,,Energia technológia,"Dubai, JAFZA",,,95,YellowPages-UAE,new,2026-04-29 20:48:02
76,Easa Saleh Al Gurg,,General Trading,"Dubai, Deira",,,95,YellowPages-UAE,new,2026-04-29 20:48:37
78,Juma Al Majid Holding,,General Trading,"Dubai, Salahuddin Rd",,,95,YellowPages-UAE,new,2026-04-29 20:48:37
114,Dubai Investments,,General Trading,"Dubai, Investment Park",,,95,YellowPages-UAE,new,2026-04-29 20:48:37
116,Emirates Global Alum,,Industrial/Trading,Dubai/Abu Dhabi,,,95,YellowPages-UAE,new,2026-04-29 20:48:37
117,Emirates National Oil,,Oil/Trading,Dubai,,,95,YellowPages-UAE,new,2026-04-29 20:48:37
135,M.H. Alshaya,,Retail/Trading,Dubai,,,95,YellowPages-UAE,new,2026-04-29 20:48:37
149,Saif Al Ghurair,,General Trading,Dubai,,,95,YellowPages-UAE,new,2026-04-29 20:48:37
164,Al Tayer Trading,,Retail/Trading,"Dubai, Al Garhoud",,,95,YellowPages-UAE,new,2026-04-29 20:49:16
167,Al Rostamani Group,,General Trading,"Dubai, Sheikh Zayed Rd",,,95,YellowPages-UAE,new,2026-04-29 20:49:16
169,Al Ghurair Trading,,Industrial/Trading,"Dubai, Deira",,,95,YellowPages-UAE,new,2026-04-29 20:49:16
197,Nakheel Trading,,General Trading,Dubai,,,95,YellowPages-UAE,new,2026-04-29 20:49:16
198,Emaar Trading,,General Trading,Dubai,,,98,YellowPages-UAE,new,2026-04-29 20:49:16
207,JAFZA Trading,,General Trading,Dubai,,,95,YellowPages-UAE,new,2026-04-29 20:49:16
220,Dubai South Logistics,,Logistics,Dubai South,,,95,YellowPages-UAE,new,2026-04-29 20:49:58
221,Emirates SkyCargo,,Logistics,Dubai,,,98,YellowPages-UAE,new,2026-04-29 20:49:58
224,Jebel Ali Free Zone Authority,,Trade,Dubai,,,98,YellowPages-UAE,new,2026-04-29 20:49:58
234,DHL Global Forwarding,,Logistics,Dubai,,,95,YellowPages-UAE,new,2026-04-29 20:49:58
235,FedEx Express UAE,,Logistics,Dubai,,,95,YellowPages-UAE,new,2026-04-29 20:49:58
236,Kuehne + Nagel UAE,,Logistics,Dubai,,,95,YellowPages-UAE,new,2026-04-29 20:49:58
237,Maersk Kanoo UAE,,Logistics,Dubai,,,95,YellowPages-UAE,new,2026-04-29 20:49:58
251,Mastercard Middle East,,Financial Tech,Dubai,,,98,YellowPages-UAE,new,2026-04-29 20:49:58
252,Visa Middle East,,Financial Tech,Dubai,,,98,YellowPages-UAE,new,2026-04-29 20:49:58
253,American Express ME,,Financial,Dubai,,,95,YellowPages-UAE,new,2026-04-29 20:49:58
254,PayPal Middle East,,Financial Tech,Dubai,,,95,YellowPages-UAE,new,2026-04-29 20:49:58
255,Stripe Middle East,,Financial Tech,Dubai,,,95,YellowPages-UAE,new,2026-04-29 20:49:58
257,Network International,,Financial Tech,Dubai,,,95,YellowPages-UAE,new,2026-04-29 20:49:58
260,Careem UAE,,Tech,Dubai,,,98,YellowPages-UAE,new,2026-04-29 20:49:58
261,Noon.com,,E-commerce,Dubai,,,98,YellowPages-UAE,new,2026-04-29 20:49:58
262,Amazon UAE,,E-commerce,Dubai,,,98,YellowPages-UAE,new,2026-04-29 20:49:58
263,Talabat UAE,,Tech,Dubai,,,95,YellowPages-UAE,new,2026-04-29 20:49:58
281,MBC Group,,Media,Dubai,,,95,YellowPages-UAE,new,2026-04-29 20:49:58
282,Al Arabiya,,Media,Dubai,,,95,YellowPages-UAE,new,2026-04-29 20:49:58
284,Dubai Media Inc,,Media,Dubai,,,95,YellowPages-UAE,new,2026-04-29 20:49:58
295,Zayed University,,Education,UAE,,,95,YellowPages-UAE,new,2026-04-29 20:49:58
304,Investment Corporation of Dubai,,Investment,Dubai,,,98,YellowPages-UAE,new,2026-04-29 20:49:58
305,Dubai Holding,,Investment,Dubai,,,98,YellowPages-UAE,new,2026-04-29 20:49:58
306,Meraas Holding,,Investment,Dubai,,,95,YellowPages-UAE,new,2026-04-29 20:49:58
307,Nakheel Properties,,Real Estate,Dubai,,,98,YellowPages-UAE,new,2026-04-29 20:49:58
337,ABB Ltd,,Robotics/Energy,"Switzerland, Zurich",,,98,Titanium-Global,new,2026-04-29 20:50:16
338,UBS Group AG,,Finance,"Switzerland, Zurich",,,98,Titanium-Global,new,2026-04-29 20:50:16
347,Kuehne + Nagel Intl,,Logistics,"Switzerland, Schindellegi",,,95,Switzerland-Direct,new,2026-04-29 20:50:16
358,Dubai World Central,,Logistics/Trade,"Dubai, South",,,95,YellowPages-UAE,new,2026-04-29 20:50:16
359,DP World Global,,Logistics,"Dubai, Jebel Ali",,,98,YellowPages-UAE,new,2026-04-29 20:50:16
361,Al Futtaim Private Co,,Conglomerate,Dubai,,,95,YellowPages-UAE,new,2026-04-29 20:50:16
