created,name,email,country,service,notes,status
2026-04-29 21:00:00,Clinique Dentaire du Rhône,info@cdrhone.ch,Switzerland,Dentist,Geneva | https://cdrhone.ch,NEW
2026-04-29 21:00:01,Cabinet Dentaire Mont Blanc,contact@cdmontblanc.ch,Switzerland,Dentist,Geneva | https://cdmontblanc.ch,NEW
2026-04-29 21:00:02,SmileCare Lausanne,info@smilecarelausanne.ch,Switzerland,Dentist,Lausanne | https://smilecarelausanne.ch,NEW
2026-04-29 21:00:03,Dental House Bern,hello@dentalhousebern.ch,Switzerland,Dentist,Bern | https://dentalhousebern.ch,NEW
2026-04-29 21:00:04,Basel Aesthetic Clinic,info@baselaesthetic.ch,Switzerland,Med Spa,Basel | https://baselaesthetic.ch,NEW
2026-04-29 21:00:05,Lucerne Prime Realty,contact@lucerneprime.ch,Switzerland,Real Estate,Lucerne | https://lucerneprime.ch,NEW
2026-04-29 21:00:06,Zug Tax Advisors,info@zugtaxadvisors.ch,Switzerland,Finance,Zug | https://zugtaxadvisors.ch,NEW
2026-04-29 21:00:07,Winterthur Legal Office,info@winterthurlaw.ch,Switzerland,Law Firm,Winterthur | https://winterthurlaw.ch,NEW
2026-04-29 21:00:08,St Gallen Smile Experts,info@sgsmile.ch,Switzerland,Dentist,St Gallen | https://sgsmile.ch,NEW
2026-04-29 21:00:09,Lugano Elite Homes,info@luganoelitehomes.ch,Switzerland,Real Estate,Lugano | https://luganoelitehomes.ch,NEW
2026-04-29 21:00:10,Philadelphia Dental Arts,info@philadentalarts.com,USA,Dentist,Philadelphia | https://philadentalarts.com,NEW
2026-04-29 21:00:11,Detroit Roofing Masters,contact@detroitroofingmasters.com,USA,Roofing,Detroit | https://detroitroofingmasters.com,NEW
2026-04-29 21:00:12,Minneapolis Law Partners,info@mplslawpartners.com,USA,Law Firm,Minneapolis | https://mplslawpartners.com,NEW
2026-04-29 21:00:13,Cleveland Med Spa Center,hello@clevelandmedspa.com,USA,Med Spa,Cleveland | https://clevelandmedspa.com,NEW
2026-04-29 21:00:14,Columbus HVAC Solutions,info@columbushvacsolutions.com,USA,HVAC,Columbus | https://columbushvacsolutions.com,NEW
2026-04-29 21:00:15,Indianapolis Realty Hub,contact@indyrealtyhub.com,USA,Real Estate,Indianapolis | https://indyrealtyhub.com,NEW
2026-04-29 21:00:16,Kansas City Smile Studio,info@kcsmilestudio.com,USA,Dentist,Kansas City | https://kcsmilestudio.com,NEW
2026-04-29 21:00:17,Salt Lake Injury Law,info@saltlakeinjurylaw.com,USA,Law Firm,Salt Lake City | https://saltlakeinjurylaw.com,NEW
2026-04-29 21:00:18,Raleigh Solar Works,info@raleighsolarworks.com,USA,Solar,Raleigh | https://raleighsolarworks.com,NEW
2026-04-29 21:00:19,Sacramento Cosmetic Dental,info@sacramentocosmeticdental.com,USA,Dentist,Sacramento | https://sacramentocosmeticdental.com,NEW
